Call,Grid
3D2USU,RH82
3E200P,FJ09
3F200BC,EJ97
7K1PTT,PM96
8P5AA,GK03
8P6ET,GK03
9V1CD,OJ11
9V1YC,OJ11
9V1ZV,OJ11
9Z4CH,FK90
9Z4DZ,FK90
9Z4RG,FK90
AB1NS,FN43
AG9S,EN61
AH6U,BL10
AI4FR,EL88
AK3B,FM19
BA5AB,PL09
BD4RHV,OM92
BD4SBN,PM01
BD4SUH,OM91
BD6RN,OM70
BD7JNA,OL63
BD9ATY,OM44
BG1URZ,ON80
BG4QNE,PM01
BG9NJY,OM38
BH1TSU,ON80
BI4SDT,PM01
BI6MKJ,OM64
BW2/JP1RIW,PL04
BD4TS,PM01
C6AGU,FL14
CE0YHO,DG52
CE3DOH,FF46
CF3BP,FN04
CO2WP,EL83
CO3DK,EL82
CO7MTL,EL92
D44PM,HK84
DS5TOS,PM45
EA3HMM,JN00
EA4ESU,IN80
EA7L,IM86
EA7TR,IM76
EA8ACW,IL28
EH2EUS,IN83
F2YS,FN31
FM/UT5UGR,FK94
G0DBE,IO83
GM3YTS,IO86
HC1MD/2,EI97
HI8RMQ,FK58
HK3CFM,FJ24
HK3JAT,FJ24
HK3X,FJ24
HK4EIC,FJ26
HP1KZ,FJ08
HP3AXL,EJ88
IK2ABJ,JN45
K6BV,CM87
LA9VFA,KQ40
LU1FEC,FF97
LU1HW,FF78
LU2BA,FF75
LU7AV,GF05
LU7DK,FF91
LU7DUE,GF05
MD0CCE,IO74
N0BKE,EM29
N0XUT,EN42
N3NT,FM19
NQ0W,EM27
NY0J,EM36
PJ2MAN,FK52
PP5DE,GG53
PT2VHF,GH64
PU2POP,GG66
PV60CRASC,GH49
PY2ADM,GG66
PY2AE,GG67
PY2DN,GG66
PY2KP,GG66
PY4AZ,GH80
PY4DY,GH80
PY5EJ,GG54
RA0FF,QN16
RW0CF,PN78
TI2VVV,EJ79
TZ1CE,IK87
UA0CW,PN78
UA0IEW,QO49
UA0LBF,PN53
UA0NL,PN53
V31ZABELIZE,EK57
V48A,FK87
VA2KRB,FN25
VA3SF,FN03
VE2DPY,FN35
VE3DS,FN03
VE3ENU,FN25
VE3MZD,EN82
VE3VT,FN03
VE3YXO,FN03
VK2TEV,QF69
W0IZ,DM68
W2/F2YS,FN31
W2MJT,EM60
W5XO,EM10
W8VK,EN70
W9KB,EL96
WP4MXM,FK68
WV8DX,EM99
WV8RKL,EM99
WX0V,EN35
WX9C,EN60
XE1AE,EK08
XE1HG,DL80
XE1KK,EK09
XE1ACA,EK09
XE2J,DL94
ZL3JT,RE66
ZS6NX,KG43
ZS6HI,KG34
